"id","title","release_year","country","duration","language","certification","gross","budget"
421,"Return to Oz",1985,"UK",109,"English","PG",,25000000
422,"Silverado",1985,"USA",133,"English","PG-13",33200000,26000000
423,"Subway",1985,"France",98,"French","R",,17000000
424,"The Color Purple",1985,"USA",154,"English","PG-13",94175854,15000000
425,"The Last Dragon",1985,"USA",109,"English","PG-13",33000000,10000000
426,"The Return of the Living Dead",1985,"USA",108,"English","R",,4000000
427,"The Return of the Living Dead",1985,"USA",108,"English","R",,4000000
428,"Witness",1985,"USA",112,"English","R",65500000,12000000
429,"Young Sherlock Holmes",1985,"USA",109,"English","PG-13",4250320,18000000
430,"9½ Weeks",1986,"USA",112,"English","R",6734844,17000000
431,"Aliens",1986,"USA",154,"English","R",85200000,18500000
432,"April Fool's Day",1986,"USA",89,"English","R",12947763,5000000
433,"Big Trouble in Little China",1986,"USA",99,"English","PG-13",11100000,25000000
434,"Crocodile Dundee",1986,"Australia",93,"English","PG-13",174635000,8800000
435,"Highlander",1986,"UK",110,"English","R",5900000,16000000
436,"Howard the Duck",1986,"USA",110,"English","PG",16295774,35000000
437,"Invaders from Mars",1986,"USA",100,"English","PG",4884663,12000000
438,"Jason Lives: Friday the 13th Part VI",1986,"USA",86,"English","R",19472057,3000000
439,"Legal Eagles",1986,"USA",116,"English","PG",49851591,40000000
440,"Little Shop of Horrors",1986,"USA",102,"English","PG-13",38747385,25000000
441,"Peggy Sue Got Married",1986,"USA",103,"English","PG-13",41382841,18000000
442,"Platoon",1986,"UK",120,"English","R",137963328,6000000
443,"River's Edge",1986,"USA",99,"English","R",4600000,1900000
444,"Salvador",1986,"UK",122,"English","R",,4500000
445,"Shanghai Surprise",1986,"UK",97,"English","PG-13",2315683,17000000
446,"She's Gotta Have It",1986,"USA",88,"English","R",7137502,175000
447,"Stand by Me",1986,"USA",89,"English","R",52287414,8000000
448,"Star Trek IV: The Voyage Home",1986,"USA",119,"English","PG",109713132,25000000
449,"The Clan of the Cave Bear",1986,"USA",98,"English","R",1953732,15000000
450,"The Color of Money",1986,"USA",119,"English","R",52293982,13800000
451,"The Golden Child",1986,"USA",94,"English","PG-13",79817937,25000000
452,"The Texas Chainsaw Massacre 2",1986,"USA",101,"English","X",8025872,4700000
453,"The Wraith",1986,"USA",93,"English","R",3500000,2700000
454,"Top Gun",1986,"USA",110,"English","PG",176781728,15000000
455,"Witchboard",1986,"UK",98,"English","R",7369373,2000000
456,"3 Men and a Baby",1987,"USA",102,"English","PG",167780960,11000000
457,"A Nightmare on Elm Street 3: Dream Warriors",1987,"USA",88,"English","X",44793200,4500000
458,"American Ninja 2: The Confrontation",1987,"USA",90,"English","R",4000000,350000
459,"Beverly Hills Cop II",1987,"USA",100,"English","R",153665036,28000000
460,"Creepshow 2",1987,"USA",85,"English","R",14000000,3500000
461,"Cry Freedom",1987,"UK",147,"English","PG",5899797,29000000
462,"Evil Dead II",1987,"USA",37,"English","X",5923044,3600000
463,"Fatal Attraction",1987,"USA",119,"English","R",156645693,14000000
464,"From a Whisper to a Scream",1987,"USA",92,"English","R",1400000,1100000
465,"Good Morning, Vietnam",1987,"USA",121,"English","R",123922370,13000000
466,"Hellraiser",1987,"UK",86,"English","R",14564027,1000000
467,"Hollywood Shuffle",1987,"USA",81,"English","R",5228617,100000
468,"Ishtar",1987,"USA",107,"English","PG-13",14375181,51000000
469,"Jaws: The Revenge",1987,"USA",92,"English","PG-13",20763013,23000000
470,"La Bamba",1987,"USA",108,"English","PG-13",54215416,6500000
471,"Malone",1987,"USA",92,"English","R",3060858,10000000
472,"Maurice",1987,"UK",140,"English","R",3130592,2600000
473,"Predator",1987,"USA",107,"English","R",59735548,15000000
474,"Prison",1987,"USA",102,"English","R",354704,1300000
475,"Radio Days",1987,"USA",88,"English","PG",14792779,16000000
476,"Spaceballs",1987,"USA",96,"English","PG",38119483,22700000
477,"Superman IV: The Quest for Peace",1987,"UK",134,"English","PG",15681020,17000000
478,"Teen Wolf Too",1987,"USA",95,"English","PG",7888703,3000000
479,"The Barbarians",1987,"USA",87,"English","R",800000,4000000
480,"The Brave Little Toaster",1987,"USA",90,"English","Not Rated",,2300000
481,"The Last Emperor",1987,"China",219,"English","PG-13",43984230,23000000
482,"The Living Daylights",1987,"UK",130,"English","PG",51185897,30000000
483,"The Lost Boys",1987,"USA",97,"English","R",32222567,
484,"The Princess Bride",1987,"USA",98,"English","PG",30857814,16000000
485,"The Running Man",1987,"USA",101,"English","R",38122105,27000000
486,"The Untouchables",1987,"USA",119,"English","R",76270454,25000000
487,"Wall Street",1987,"USA",126,"English","R",43848100,15000000
488,"A Nightmare on Elm Street 4: The Dream Master",1988,"USA",99,"English","R",49369900,7000000
489,"Action Jackson",1988,"USA",96,"English","R",20257000,7000000
490,"Akira",1988,"Japan",124,"Japanese","R",439162,1100000000
491,"Beetlejuice",1988,"USA",92,"English","PG",73326666,15000000
492,"Big",1988,"USA",130,"English","PG",114968774,18000000
493,"Bloodsport",1988,"USA",92,"English","R",11806119,1100000
494,"Bright Lights, Big City",1988,"USA",107,"English","R",16118077,25000000
495,"Child's Play",1988,"USA",87,"English","R",33244684,9000000
496,"Crocodile Dundee II",1988,"Australia",108,"English","PG",109306210,15800000
497,"Dangerous Liaisons",1988,"USA",119,"English","R",34700000,14000000
498,"Dangerous Liaisons",1988,"USA",119,"English","R",34700000,14000000
499,"Die Hard",1988,"USA",131,"English","R",81350242,28000000
500,"Friday the 13th Part VII: The New Blood",1988,"USA",88,"English","R",19170001,2800000
501,"Halloween 4: The Return of Michael Myers",1988,"USA",88,"English","R",17768000,5000000
502,"Iguana",1988,"Italy",97,"English",,,3000000
503,"Lady in White",1988,"USA",118,"English","R",1705139,4700000
504,"Midnight Run",1988,"USA",126,"English","R",38413606,30000000
505,"My Stepmother Is an Alien",1988,"USA",105,"English","PG-13",13854000,20000000
506,"Mystic Pizza",1988,"USA",104,"English","R",12793213,6000000
507,"Phantasm II",1988,"USA",97,"English","R",7282851,3000000
508,"Poltergeist III",1988,"USA",98,"English","PG-13",14114488,10500000
509,"Rain Man",1988,"USA",133,"English","R",172825435,25000000
510,"Rambo III",1988,"USA",87,"English","R",53715611,63000000
511,"School Daze",1988,"USA",121,"English","R",14545844,6500000
512,"Scrooged",1988,"USA",101,"English","PG-13",60328558,32000000
513,"Talk Radio",1988,"USA",110,"English","R",3468572,4000000
514,"The Land Before Time",1988,"USA",69,"English","G",48092846,12500000
515,"The Last Temptation of Christ",1988,"USA",164,"English","R",8373585,7000000
516,"They Live",1988,"USA",93,"English","R",13008928,4000000
517,"Twins",1988,"USA",107,"English","PG",111936400,15000000
518,"Young Guns",1988,"USA",107,"English","R",44726644,13000000
519,"A Nightmare on Elm Street 5: The Dream Child",1989,"USA",89,"English","X",22168359,8000000
520,"Back to the Future Part II",1989,"USA",108,"English","PG",118500000,40000000
521,"Batman",1989,"USA",126,"English","PG-13",251188924,35000000
522,"Bill & Ted's Excellent Adventure",1989,"USA",90,"English","PG",40485039,10000000
523,"Black Rain",1989,"USA",125,"English","R",45645204,30000000
524,"Born on the Fourth of July",1989,"USA",145,"English","R",70001698,14000000
525,"Dead Poets Society",1989,"USA",128,"English","PG",95860116,16400000
526,"Do the Right Thing",1989,"USA",120,"English","R",27545445,6500000
527,"Driving Miss Daisy",1989,"USA",99,"English","PG",106593296,7500000
528,"Friday the 13th Part VIII: Jason Takes Manhattan",1989,"USA",100,"English","R",14343976,5000000
529,"Glory",1989,"USA",122,"English","R",26830000,18000000
530,"Glory",1989,"USA",122,"English","R",26830000,18000000
531,"Halloween 5",1989,"USA",96,"English","X",11642254,3000000
532,"Henry V",1989,"UK",137,"English","PG-13",10161099,9000000
533,"Indiana Jones and the Last Crusade",1989,"USA",127,"English","PG-13",197171806,48000000
534,"Licence to Kill",1989,"UK",133,"English","PG-13",34667015,32000000
535,"Major League",1989,"USA",107,"English","R",49797148,11000000
536,"New York Stories",1989,"USA",124,"English","PG",10763469,15000000
537,"Pet Sematary",1989,"USA",103,"English","R",57469179,11500000
538,"Road House",1989,"USA",114,"English","R",30050028,17000000
539,"Roger & Me",1989,"USA",91,"English","R",6706368,160000
540,"Sea of Love",1989,"USA",113,"English","R",58571513,19000000
541,"Sex, Lies, and Videotape",1989,"USA",100,"English","R",24741700,1200000
542,"Star Trek V: The Final Frontier",1989,"USA",107,"English","PG",55210049,27800000
543,"Tango & Cash",1989,"USA",97,"English","R",63408614,55000000
544,"The Abyss",1989,"USA",171,"English","PG-13",54222000,69500000
545,"The Blood of Heroes",1989,"Australia",90,"English","R",882290,10000000
546,"The Toxic Avenger Part II",1989,"USA",96,"English","R",792966,2300000
547,"Troop Beverly Hills",1989,"USA",105,"English","PG",8508843,18000000
548,"UHF",1989,"USA",150,"English","PG-13",6157157,5000000
549,"Warlock",1989,"USA",103,"English","R",9094451,7000000
550,"We're No Angels",1989,"USA",106,"English","PG-13",10555348,20000000
551,"When Harry Met Sally...",1989,"USA",89,"English","R",92823600,16000000
552,"Arachnophobia",1990,"USA",103,"English","PG-13",53133888,31000000
553,"Back to the Future Part III",1990,"USA",118,"English","PG",87666629,40000000
554,"Child's Play 2",1990,"USA",72,"English","R",28501605,13000000
555,"Dances with Wolves",1990,"USA",236,"English","PG-13",184208848,22000000
556,"Days of Thunder",1990,"USA",107,"English","PG-13",82670733,60000000
557,"Dick Tracy",1990,"USA",105,"English","PG",103738726,100000000
558,"Die Hard 2",1990,"USA",124,"English","R",117541000,70000000
559,"Edward Scissorhands",1990,"USA",105,"English","PG-13",56362352,20000000
560,"Flatliners",1990,"USA",115,"English","R",61490000,26000000
561,"Ghost",1990,"USA",127,"English","PG-13",217631306,22000000
562,"Goodfellas",1990,"USA",146,"English","R",46836394,25000000
563,"Gremlins 2: The New Batch",1990,"USA",106,"English","PG-13",41482207,50000000
564,"Home Alone",1990,"USA",103,"English","PG",285761243,18000000
565,"Kindergarten Cop",1990,"USA",111,"English","PG-13",91457688,26000000
566,"Marilyn Hotchkiss' Ballroom Dancing and Charm School",1990,"USA",34,"English",,333658,34000
567,"Metropolitan",1990,"USA",98,"English","PG-13",2938208,225000
568,"Midnight Cabaret",1990,"USA",94,"English","R",,
569,"Mo' Better Blues",1990,"USA",129,"English","R",16153600,10000000
570,"Predator 2",1990,"USA",103,"English","R",30669413,35000000
571,"Pretty Woman",1990,"USA",125,"English","R",178406268,14000000
572,"Quigley Down Under",1990,"Australia",119,"English","PG-13",21413105,20000000
573,"Shipwrecked",1990,"Norway",92,"English","PG",,60000000
574,"Spaced Invaders",1990,"USA",100,"English","PG",15369573,3000000
575,"The Adventures of Ford Fairlane",1990,"USA",104,"English","R",21413502,40000000
576,"The Godfather: Part III",1990,"USA",170,"English","R",66676062,54000000
577,"The Hunt for Red October",1990,"USA",135,"English","PG",122012643,30000000
578,"Total Recall",1990,"USA",113,"English","R",119412921,65000000
579,"Total Recall",1990,"USA",113,"English","R",119412921,65000000
580,"Tremors",1990,"USA",96,"English","PG-13",16667084,11000000
581,"Two Evil Eyes",1990,"Italy",120,"English","R",349618,9000000
582,"Beastmaster 2: Through the Portal of Time",1991,"USA",107,"English","PG-13",869325,6000000
583,"Bill & Ted's Bogus Journey",1991,"USA",93,"English","PG",38037513,20000000
584,"Boyz n the Hood",1991,"USA",112,"English","R",57504069,6000000
585,"Cape Fear",1991,"USA",128,"English","R",79100000,35000000
586,"Double Impact",1991,"USA",110,"English","R",30102717,15000000
587,"Flight of the Intruder",1991,"USA",115,"English","PG-13",14587732,35000000
588,"Freddy's Dead: The Final Nightmare",1991,"USA",93,"English","R",34872293,8500000
589,"Harley Davidson and the Marlboro Man",1991,"USA",98,"English","R",7434726,23000000
590,"Hook",1991,"USA",142,"English","PG",119654900,70000000
591,"House Party 2",1991,"USA",94,"English","R",19281235,5000000
592,"Hudson Hawk",1991,"USA",100,"English","R",17218080,70000000
593,"JFK",1991,"France",206,"English","R",70405498,40000000
594,"Johnny Suede",1991,"Switzerland",97,"English","R",,500000
595,"My Girl",1991,"USA",102,"English","PG-13",59847242,16500000
596,"My Own Private Idaho",1991,"USA",104,"English","R",6401336,2500000
597,"Return to the Blue Lagoon",1991,"USA",102,"English","PG-13",2807854,11000000
598,"Robin Hood: Prince of Thieves",1991,"USA",155,"English","PG-13",165500000,48000000
599,"Showdown in Little Tokyo",1991,"USA",79,"English","R",2275557,8000000
600,"Slacker",1991,"USA",100,"English","R",1227508,23000
601,"Star Trek VI: The Undiscovered Country",1991,"USA",110,"English","PG",74888996,30000000
602,"Stone Cold",1991,"USA",88,"English","R",9286314,17000000
603,"Straight Out of Brooklyn",1991,"USA",91,"English","R",2712293,450000
604,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991,"USA",88,"English","PG",78656813,25000000
605,"Terminator 2: Judgment Day",1991,"USA",153,"English","R",204843350,102000000
606,"The Addams Family",1991,"USA",99,"English","PG-13",113502246,38000000
607,"The Doors",1991,"USA",140,"English","R",35183792,38000000
608,"The Fisher King",1991,"USA",137,"English","R",41895491,24000000
609,"The Naked Gun 2½: The Smell of Fear",1991,"USA",85,"English","PG-13",86930411,23000000
610,"The Prince of Tides",1991,"USA",132,"English","R",74787599,30000000
611,"The Silence of the Lambs",1991,"USA",138,"English","R",130727000,19000000
612,"White Fang",1991,"USA",107,"English","PG",34793160,14000000
613,"A Few Good Men",1992,"USA",138,"English","R",141340178,40000000
614,"A League of Their Own",1992,"USA",128,"English","PG",107458785,40000000
615,"Aladdin",1992,"USA",90,"English","G",217350219,28000000
616,"Alien 3",1992,"USA",145,"English","R",55473600,50000000
617,"Army of Darkness",1992,"USA",88,"English","R",11501093,13000000
618,"Batman Returns",1992,"USA",126,"English","PG-13",162831698,80000000
619,"Boomerang",1992,"USA",117,"English","R",70100000,40000000
620,"Bram Stoker's Dracula",1992,"USA",155,"English","R",82522790,40000000
621,"Death Becomes Her",1992,"USA",104,"English","PG-13",58422650,55000000
622,"El Mariachi",1992,"USA",81,"Spanish","R",2040920,7000
623,"Fortress",1992,"Australia",95,"English","R",6739141,8000000
624,"Glengarry Glen Ross",1992,"USA",100,"English","R",10725228,12500000
625,"Hoffa",1992,"USA",140,"English","R",24276500,35000000
626,"Home Alone 2: Lost in New York",1992,"USA",120,"English","PG",173585516,18000000
627,"Howards End",1992,"UK",140,"English","PG",25967000,
628,"Lethal Weapon 3",1992,"USA",121,"English","R",144731527,35000000
629,"Light Sleeper",1992,"USA",103,"English","R",1100000,5000000
630,"Malcolm X",1992,"USA",202,"English","PG-13",48169908,33000000
631,"Medicine Man",1992,"USA",106,"English","PG-13",45500797,40000000
632,"Memoirs of an Invisible Man",1992,"USA",99,"English","PG-13",14358033,40000000
633,"My Cousin Vinny",1992,"USA",120,"English","R",52929168,11000000
634,"Patriot Games",1992,"USA",117,"English","R",83287363,45000000
635,"Radio Flyer",1992,"USA",114,"English","PG-13",4651977,35000000
636,"Raising Cain",1992,"USA",91,"English","R",21370057,12000000
637,"Reservoir Dogs",1992,"USA",99,"English","R",2812029,1200000
638,"Split Second",1992,"UK",96,"English","R",5430822,7000000
639,"The Bodyguard",1992,"USA",129,"English","R",121945720,25000000
640,"The Crying Game",1992,"UK",112,"English","R",62549000,2300000
641,"The Last of the Mohicans",1992,"USA",117,"English","R",72455275,40000000
642,"The Lawnmower Man",1992,"UK",140,"English","R",32101000,10000000
643,"The Mighty Ducks",1992,"USA",100,"English","PG",50752337,10000000
644,"The Muppet Christmas Carol",1992,"USA",89,"English","G",27281507,12000000
645,"Unforgiven",1992,"USA",131,"English","R",101157447,14400000
646,"Wayne's World",1992,"USA",94,"English","PG-13",121697350,20000000
647,"Airborne",1993,"USA",91,"English","PG",2850263,2600000
648,"Alive",1993,"USA",120,"English","R",36733909,32000000
649,"Blood In, Blood Out",1993,"USA",330,"English","R",4496583,35000000
650,"Cliffhanger",1993,"USA",124,"English","R",84049211,70000000
651,"Cool Runnings",1993,"USA",98,"English","PG",68856263,15000000
652,"Dazed and Confused",1993,"USA",102,"English","R",7993039,6900000
653,"Ed and His Dead Mother",1993,"USA",93,"English","PG-13",,1800000
654,"Excessive Force",1993,"USA",87,"English","R",1200000,3000000
655,"Gettysburg",1993,"USA",271,"English","PG",10769960,25000000
656,"Groundhog Day",1993,"USA",101,"English","PG",70906973,14600000
657,"Hocus Pocus",1993,"USA",96,"English","PG",39514713,28000000
658,"Jason Goes to Hell: The Final Friday",1993,"USA",91,"English","R",15935068,2500000
659,"Jurassic Park",1993,"USA",127,"English","PG-13",356784000,63000000
660,"Killing Zoe",1993,"France",99,"English","R",418953,1500000
661,"Last Action Hero",1993,"USA",130,"English","PG-13",50016394,70000000
662,"Les visiteurs",1993,"France",107,"French","R",700000,50000000
